RecordID_Int,Acreage,GPIN,IsActive,Legal,ParcelNumber,StreetNumber,StreetName,StateCode,TaxDist,TaxType,Unit,Zone
1,39.83,1326,1,39.832 ACRES BARRACKS ROAD SHOPPING CENTER,010001000,1117,EMMET ST N,4.0 Commercial & Industrial,,Taxable,,URB
2,2.14,15071,1,PARCEL W WEST BAR,010001100,1035-67,MILLMONT ST,4.0 Commercial & Industrial,,Taxable,,URB
3,0.58,1280,1,LOT C-1 WEST BAR,010001200,1159,MILLMONT ST,4.0 Commercial & Industrial,,Taxable,,URB
4,0.4,1357,1,LOT C-2B WEST BAR,010001300,1135-37,MILLMONT ST,4.0 Commercial & Industrial,,Taxable,,URB
5,3.28,1366,1,LOT B-1 WEST BAR,010001400,1111,MILLMONT ST,4.0 Commercial & Industrial,,Taxable,,URB
6,0.92,1302,1,LOT C-2A WEST BAR,010001500,1149,MILLMONT ST,4.0 Commercial & Industrial,,Taxable,,URB
7,80.72,1056,1,80 AC JAG SCHOOL,010001600,600,MASSIE RD,7.6 Exempt Educational,,Exempt,,URB
8,3.46,1418,1,PARCEL V WEST BAR,010001700,1101,MILLMONT ST,7.6 Exempt Educational,,Exempt,,URB
9,1.1,0,0,PARCEL Y,010001900,1023,MILLMONT ST,4.0 Commercial & Industrial,,Taxable,,URB
10,2.5,1440,1,LOT M,010004000,1138,EMMET ST N,4.0 Commercial & Industrial,,Taxable,,URB
11,1.19,1414,1,PARCEL 3 & PAR X,010004100,1170,EMMET ST N,4.0 Commercial & Industrial,,Taxable,,URB
12,0.2,1482,1,LOT 2B,010004300,1134,EMMET ST N,4.0 Commercial & Industrial,,Taxable,,URB
13,0.18,1465,1,UNIT 1 MEADOWBROOK CONDO,010004400,1136-A,EMMET ST N,4.0 Commercial & Industrial,,Taxable,1,URB
14,0.18,1465,1,UNIT 2 MEADOWBROOK CONDO,010004500,1136-B,EMMET ST N,4.0 Commercial & Industrial,,Taxable,2,URB
15,0.83,1492,1,LOT 11 BK 10 RUGBY,010005000,0,BARRACKS RD,1.0 Residential (Urban),,Taxable,,R-1U
16,1.89,1511,1,LOTS 9 & 10 BK 10 RUGBY,010006000,2028,BARRACKS RD,1.0 Residential (Urban),,Taxable,,R-1U
17,2.069,1557,1,"LOTS 7,8 & STRIP BK 10 RUGBY",010007000,1930,BARRACKS RD,1.0 Residential (Urban),01,Taxable,,R-1U
18,1.369,1600,1,LOT 6 & PT 5 BK 10 RUGBY,010008000,0,BARRACKS RD,1.0 Residential (Urban),,Taxable,,R-1U
19,2.026,1623,1,LOT 4 & PT LOT 5 BK 10 RUGBY,010009000,1920,BARRACKS RD,1.0 Residential (Urban),,Taxable,,R-1U
20,0.93,1737,1,LOT 8 & PT 7 BK 11 RUGBY,010010000,1851,WESTVIEW RD,1.0 Residential (Urban),,Taxable,,R-1U
21,1.019,1700,1,PT LOTS 6 & 7 BK 11 RUGBY,010011000,1855,WESTVIEW RD,1.0 Residential (Urban),,Taxable,,R-1U
22,0.861,1674,1,PT LOTS 5 & 6 BK 11 RUGBY,010012000,1857,WESTVIEW RD,1.0 Residential (Urban),,Taxable,,R-1U
23,1.291,1640,1,LOT 4 BK 11 RUGBY,010014000,1885,WESTVIEW RD,1.0 Residential (Urban),,Taxable,,R-1U
24,0.944,1616,1,LOT 3 BK 11 RUGBY,010015000,1889,WESTVIEW RD,1.0 Residential (Urban),,Taxable,,R-1U
25,1,1584,1,LOT 2 BK 11 RUGBY,010016000,1891,WESTVIEW RD,1.0 Residential (Urban),,Taxable,,R-1U
26,0.451,1605,1,LOT A BK 11 RUGBY,010017000,1893,WESTVIEW RD,3.0 Multi-Family,,Taxable,,R-1U
27,0.926,1547,1,LOT B BK 11 RUGBY,010017100,1895,WESTVIEW RD,3.0 Multi-Family,,Taxable,,R-1U
28,7.24,1494,1,"PARCELS 1,2 &3",010018000,1001,EMMET ST N,7.6 Exempt Educational,,Exempt,,ES
29,0.15,1642,1,6537 SQ FT BK 9 RUGBY,010019000,1890,WESTVIEW RD,1.0 Residential (Urban),,Taxable,,R-1U
